DIS,INDUS,CRIM,RM,MEDV
4.09,2.31,0.00632,6.575,24.0
4.9671,7.07,0.02731,6.421,21.6
4.9671,7.07,0.02729,7.185,34.7
6.0622,2.18,0.03237,6.998,33.4
6.0622,2.18,0.06905,7.147,36.2
6.0622,2.18,0.02985,6.43,28.7
5.5605,7.87,0.08829,6.012,22.9
5.9505,7.87,0.14455,6.172,27.1
6.0821,7.87,0.21124,5.631,16.5
6.5921,7.87,0.17004,6.004,18.9
6.3467,7.87,0.22489,6.377,15.0
6.2267,7.87,0.11747,6.009,18.9
5.4509,7.87,0.09378,5.889,21.7
4.7075,8.14,0.62976,5.949,20.4
4.4619,8.14,0.63796,6.096,18.2
4.4986,8.14,0.62739,5.834,19.9
4.4986,8.14,1.05393,5.935,23.1
4.2579,8.14,0.7842,5.99,17.5
3.7965,8.14,0.80271,5.456,20.2
3.7965,8.14,0.7258,5.727,18.2
3.7979,8.14,1.25179,5.57,13.6
4.0123,8.14,0.85204,5.965,19.6
3.9769,8.14,1.23247,6.142,15.2
4.0952,8.14,0.98843,5.813,14.5
4.3996,8.14,0.75026,5.924,15.6
4.4546,8.14,0.84054,5.599,13.9
4.682,8.14,0.67191,5.813,16.6
4.4534,8.14,0.95577,6.047,14.8
4.4547,8.14,0.77299,6.495,18.4
4.239,8.14,1.00245,6.674,21.0
4.233,8.14,1.13081,5.713,12.7
4.175,8.14,1.35472,6.072,14.5
3.99,8.14,1.38799,5.95,13.2
3.7872,8.14,1.15172,5.701,13.1
3.7598,8.14,1.61282,6.096,13.5
3.3603,5.96,0.06417,5.933,18.9
3.3779,5.96,0.09744,5.841,20.0
3.9342,5.96,0.08014,5.85,21.0
3.8473,5.96,0.17505,5.966,24.7
5.4011,2.95,0.02763,6.595,30.8
5.4011,2.95,0.03359,7.024,34.9
5.7209,6.91,0.12744,6.77,26.6
5.7209,6.91,0.1415,6.169,25.3
5.7209,6.91,0.15936,6.211,24.7
5.7209,6.91,0.12269,6.069,21.2
5.1004,6.91,0.17142,5.682,19.3
5.1004,6.91,0.18836,5.786,20.0
5.6894,6.91,0.22927,6.03,16.6
5.87,6.91,0.25387,5.399,14.4
6.0877,6.91,0.21977,5.602,19.4
6.8147,5.64,0.08873,5.963,19.7
6.8147,5.64,0.04337,6.115,20.5
6.8147,5.64,0.0536,6.511,25.0
6.8147,5.64,0.04981,5.998,23.4
7.3197,4.0,0.0136,5.888,18.9
8.6966,1.22,0.01311,7.249,35.4
9.1876,0.74,0.02055,6.383,24.7
8.3248,1.32,0.01432,6.816,31.6
7.8148,5.13,0.15445,6.145,23.3
6.932,5.13,0.10328,5.927,19.6
7.2254,5.13,0.14932,5.741,18.7
6.8185,5.13,0.17171,5.966,16.0
7.2255,5.13,0.11027,6.456,22.2
7.9809,5.13,0.1265,6.762,25.0
9.2229,1.38,0.01951,7.104,33.0
6.6115,3.37,0.03584,6.29,23.5
6.6115,3.37,0.04379,5.787,19.4
6.498,6.07,0.05789,5.878,22.0
6.498,6.07,0.13554,5.594,17.4
6.498,6.07,0.12816,5.885,20.9
5.2873,10.81,0.08826,6.417,24.2
5.2873,10.81,0.15876,5.961,21.7
5.2873,10.81,0.09164,6.065,22.8
5.2873,10.81,0.19539,6.245,23.4
4.2515,12.83,0.07896,6.273,24.1
4.5026,12.83,0.09512,6.286,21.4
4.0522,12.83,0.10153,6.279,20.0
4.0905,12.83,0.08707,6.14,20.8
5.0141,12.83,0.05646,6.232,21.2
4.5026,12.83,0.08387,5.874,20.3
5.4007,4.86,0.04113,6.727,28.0
5.4007,4.86,0.04462,6.619,23.9
5.4007,4.86,0.03659,6.302,24.8
5.4007,4.86,0.03551,6.167,22.9
4.7794,4.49,0.05059,6.389,23.9
4.4377,4.49,0.05735,6.63,26.6
4.4272,4.49,0.05188,6.015,22.5
3.7476,4.49,0.07151,6.121,22.2
3.4217,3.41,0.0566,7.007,23.6
3.4145,3.41,0.05302,7.079,28.7
3.0923,3.41,0.04684,6.417,22.6
3.0921,3.41,0.03932,6.405,22.0
3.6659,15.04,0.04203,6.442,22.9
3.6659,15.04,0.02875,6.211,25.0
3.615,15.04,0.04294,6.249,20.6
3.4952,2.89,0.12204,6.625,28.4
3.4952,2.89,0.11504,6.163,21.4
3.4952,2.89,0.12083,8.069,38.7
3.4952,2.89,0.08187,7.82,43.8
3.4952,2.89,0.0686,7.416,33.2
2.7778,8.56,0.14866,6.727,27.5
2.8561,8.56,0.11432,6.781,26.5
2.7147,8.56,0.22876,6.405,18.6
2.7147,8.56,0.21161,6.137,19.3
2.421,8.56,0.1396,6.167,20.1
2.1069,8.56,0.13262,5.851,19.5
2.211,8.56,0.1712,5.836,19.5
2.1224,8.56,0.13117,6.127,20.4
2.4329,8.56,0.12802,6.474,19.8
2.5451,8.56,0.26363,6.229,19.4
2.7778,8.56,0.10793,6.195,21.7
2.6775,10.01,0.10084,6.715,22.8
2.3534,10.01,0.12329,5.913,18.8
2.548,10.01,0.22212,6.092,18.7
2.2565,10.01,0.14231,6.254,18.5
2.4631,10.01,0.17134,5.928,18.3
2.7301,10.01,0.13158,6.176,21.2
2.7474,10.01,0.15098,6.021,19.2
2.4775,10.01,0.13058,5.872,20.4
2.7592,10.01,0.14476,5.731,19.3
2.2577,25.65,0.06899,5.87,22.0
2.1974,25.65,0.07165,6.004,20.3
2.0869,25.65,0.09299,5.961,20.5
1.9444,25.65,0.15038,5.856,17.3
2.0063,25.65,0.09849,5.879,18.8
1.9929,25.65,0.16902,5.986,21.4
1.7572,25.65,0.38735,5.613,15.7
1.7883,21.89,0.25915,5.693,16.2
1.8125,21.89,0.32543,6.431,18.0
1.9799,21.89,0.88125,5.637,14.3
2.1185,21.89,0.34006,6.458,19.2
2.271,21.89,1.19294,6.326,19.6
2.3274,21.89,0.59005,6.372,23.0
2.4699,21.89,0.32982,5.822,18.4
2.346,21.89,0.97617,5.757,15.6
2.1107,21.89,0.55778,6.335,18.1
1.9669,21.89,0.32264,5.942,17.4
1.8498,21.89,0.35233,6.454,17.1
1.6686,21.89,0.2498,5.857,13.3
1.6687,21.89,0.54452,6.151,17.8
1.6119,21.89,0.2909,6.174,14.0
1.4394,21.89,1.62864,5.019,14.4
1.3216,19.58,3.32105,5.403,13.4
1.4118,19.58,4.0974,5.468,15.6
1.3459,19.58,2.77974,4.903,11.8
1.4191,19.58,2.37934,6.13,13.8
1.5166,19.58,2.15505,5.628,15.6
1.4608,19.58,2.36862,4.926,14.6
1.5296,19.58,2.33099,5.186,17.8
1.5257,19.58,2.73397,5.597,15.4
1.618,19.58,1.6566,6.122,21.5
1.5916,19.58,1.49632,5.404,19.6
1.6102,19.58,1.12658,5.012,15.3
1.6232,19.58,2.14918,5.709,19.4
1.7494,19.58,1.41385,6.129,17.0
1.7455,19.58,3.53501,6.152,15.6
1.7364,19.58,2.44668,5.272,13.1
1.8773,19.58,1.22358,6.943,41.3
1.7573,19.58,1.34284,6.066,24.3
1.7659,19.58,1.42502,6.51,23.3
1.7984,19.58,1.27346,6.25,27.0
1.9709,19.58,1.46336,7.489,50.0
2.0407,19.58,1.83377,7.802,50.0
2.162,19.58,1.51902,8.375,50.0
2.422,19.58,2.24236,5.854,22.7
2.2834,19.58,2.924,6.101,25.0
2.0459,19.58,2.01019,7.929,50.0
2.4259,19.58,1.80028,5.877,23.8
2.1,19.58,2.3004,6.319,23.8
2.2625,19.58,2.44953,6.402,22.3
2.4259,19.58,1.20742,5.875,17.4
2.3887,19.58,2.3139,5.88,19.1
2.5961,4.05,0.13914,5.572,23.1
2.6463,4.05,0.09178,6.416,23.6
2.7019,4.05,0.08447,5.859,22.6
3.1323,4.05,0.06664,6.546,29.4
3.5549,4.05,0.07022,6.02,23.2
3.3175,4.05,0.05425,6.315,24.6
2.9153,4.05,0.06642,6.86,29.9
2.829,2.46,0.0578,6.98,37.2
2.741,2.46,0.06588,7.765,39.8
2.5979,2.46,0.06888,6.144,36.2
2.7006,2.46,0.09103,7.155,37.9
2.847,2.46,0.10008,6.563,32.5
2.9879,2.46,0.08308,5.604,26.4
3.2797,2.46,0.06047,6.153,29.6
3.1992,2.46,0.05602,7.831,50.0
3.7886,3.44,0.07875,6.782,32.0
4.5667,3.44,0.12579,6.556,29.8
4.5667,3.44,0.0837,7.185,34.9
6.4798,3.44,0.09068,6.951,37.0
6.4798,3.44,0.06911,6.739,30.5
6.4798,3.44,0.08664,7.178,36.4
6.2196,2.93,0.02187,6.8,31.1
6.2196,2.93,0.01439,6.604,29.1
5.6484,0.46,0.01381,7.875,50.0
7.309,1.52,0.04011,7.287,33.3
7.309,1.52,0.04666,7.107,30.3
7.309,1.52,0.03768,7.274,34.6
7.6534,1.47,0.0315,6.975,34.9
7.6534,1.47,0.01778,7.135,32.9
6.27,2.03,0.03445,6.162,24.1
6.27,2.03,0.02177,7.61,42.3
5.118,2.68,0.0351,7.853,48.5
5.118,2.68,0.02009,8.034,50.0
3.9454,10.59,0.13642,5.891,22.6
4.3549,10.59,0.22969,6.326,24.4
4.3549,10.59,0.25199,5.783,22.5
4.2392,10.59,0.13587,6.064,24.4
3.875,10.59,0.43571,5.344,20.0
3.8771,10.59,0.17446,5.96,21.7
3.665,10.59,0.37578,5.404,19.3
3.6526,10.59,0.21719,5.807,22.4
3.9454,10.59,0.14052,6.375,28.1
3.5875,10.59,0.28955,5.412,23.7
3.9454,10.59,0.19802,6.182,25.0
3.1121,13.89,0.0456,5.888,23.3
3.4211,13.89,0.07013,6.642,28.7
2.8893,13.89,0.11069,5.951,21.5
3.3633,13.89,0.11425,6.373,23.0
2.8617,6.2,0.35809,6.951,26.7
3.048,6.2,0.40771,6.164,21.7
3.2721,6.2,0.62356,6.879,27.5
3.2721,6.2,0.6147,6.618,30.1
2.8944,6.2,0.31533,8.266,44.8
2.8944,6.2,0.52693,8.725,50.0
3.2157,6.2,0.38214,8.04,37.6
3.2157,6.2,0.41238,7.163,31.6
3.3751,6.2,0.29819,7.686,46.7
3.3751,6.2,0.44178,6.552,31.5
3.6715,6.2,0.537,5.981,24.3
3.6715,6.2,0.46296,7.412,31.7
3.8384,6.2,0.57529,8.337,41.7
3.6519,6.2,0.33147,8.247,48.3
3.6519,6.2,0.44791,6.726,29.0
3.6519,6.2,0.33045,6.086,24.0
4.148,6.2,0.52058,6.631,25.1
4.148,6.2,0.51183,7.358,31.5
6.1899,4.93,0.08244,6.481,23.7
6.1899,4.93,0.09252,6.606,23.3
6.3361,4.93,0.11329,6.897,22.0
6.3361,4.93,0.10612,6.095,20.1
7.0355,4.93,0.1029,6.358,22.2
7.0355,4.93,0.12757,6.393,23.7
7.9549,5.86,0.20608,5.593,17.6
7.9549,5.86,0.19133,5.605,18.5
8.0555,5.86,0.33983,6.108,24.3
